url_labelizer,Title,Fake News,"Places, Dates, People",Facts,Opinions,Subjective,Reported Information,Sources Cited,False Information,Insinuation,Exaggeration,Offbeat Title,Comments,Annotator
https://app.observatoire.info/labelize?url_h=c13175936764a345ec21bc398fe750a41496078e,La relation entre la technologie et la religion,0,1,1,1,1,0,1,0,0,0,0,vraiment indigeste pour commencer !,rater1
https://app.observatoire.info/labelize?url_h=0552561b3c46f64febfbc3a77c301f085a98b966,"Confinement. Les habitants de Brest, Morlaix et Carhaix invités à répondre à une étude sur leur consommation d’alcool",0,1,1,0,0,0,1,0,0,0,0,,rater1
https://app.observatoire.info/labelize?url_h=361a904687dd4b1abb189717de7341ce162d21c7,La Chine : Le premier marché mondial de Smartphones,0,1,1,0,0,0,1,0,0,0,0,,rater1
https://app.observatoire.info/labelize?url_h=433b403d386d5eba5dff7d45044cdb0fe7862972,"Emmanuel à Olivier : « Tiens bon, on les aura ces connards »",1,1,1,1,1,0,0,1,0,1,0,Article dupliqué (je l'avais manqué),rater1
https://app.observatoire.info/labelize?url_h=3494ad0901a73fc6ceb2f74ac4ac1930af42b363,"Selon UBS, les « propriétés d’assurance tant de fois éprouvées » de l’or brillent plus que jamais",0,1,1,1,1,0,1,0,0,0,0,,rater1
https://app.observatoire.info/labelize?url_h=997fc8895a88f9ad2b9956d4adfe2cfb9cf09e0d,Poutine : Les accords de Minsk n’existent plus et l’Ukraine doit être démilitarisée,0,1,1,1,1,0,1,0,0,0,0,,rater1
https://app.observatoire.info/labelize?url_h=382bac9a954453809b94369c779d2a6ec96cc030,Essonne : Les voleurs tombent sur des membres du GIGN qui sortaient de leur entraînement,0,1,1,0,0,0,0,0,0,0,0,,rater1
https://app.observatoire.info/labelize?url_h=e54376530c53ad4648b0714ee1a770dffe11dd45,"La misère énergétique, pour punir les consommateurs",0,1,1,1,1,1,1,0,0,0,0,,rater1
https://app.observatoire.info/labelize?url_h=9255f80932f1de956b66ff1e47319be2c5c3bbf7,Israël bombarde des cibles iraniennes et du Hezbollah en Syrie,0,1,1,0,0,0,1,0,0,0,0,,rater1
https://app.observatoire.info/labelize?url_h=532337cd167f9baa2c439a5b7a5dbc525fce6255,"Point de situation au 06/12/21 au Centre hospitalier de Haguenau : sur 8 patients en réanimation, 7 sont vaccinés !",1,1,1,1,1,0,0,0,1,1,0,il y a plutôt sophisme dans la démonstration de l'innéficacité et nocivité des vaccins,rater1
https://app.observatoire.info/labelize?url_h=6ebc4b01fa833192bbc4300aff7b2b6607c5c3cc,Un couple loge une famille de migrants : 36.000 € de dégâts,1,0,1,0,1,1,0,0,0,1,0,"cette histoire est elle vraie, est elle complète ? je la trouve peu crédible",rater1
https://app.observatoire.info/labelize?url_h=4ae2232e5ca9340c91f5a8f6ac965162fb49f1f6,La Grèce ne veut plus être le mouton noir de l’Europe,0,1,1,1,1,0,1,0,1,1,0,le taux de suicide n'a pas doublé,rater1
https://app.observatoire.info/labelize?url_h=9d618d02c4805676d1b0b18602b8e8602a64e60f,Voir les corrompus bien en face,0,0,0,1,1,0,1,0,1,1,0,waou ! on reste sans voix devant ce délire et on a du mal à labelliser,rater1
https://app.observatoire.info/labelize?url_h=f99613c721b4e16c6c64fec1af752fbc76de08df,Précarité des jeunes : Martine Wonner face à Élisabeth Borne,1,1,1,1,1,1,1,1,0,1,0,Infox pour les dernières phrases antivax,rater1
https://app.observatoire.info/labelize?url_h=39bc3ee977a211e202e6e56e2bf57a9356552bc5,Emmanuel Macron et Giorgia Meloni appellent à soutenir la Tunisie pour contenir la pression migratoire,0,1,1,0,0,0,1,0,0,0,0,,rater1
https://app.observatoire.info/labelize?url_h=ab20cbe2c54557d87507cb82fda5e60c95d5f30e,"Audiovisuel public, la grande entourloupe : la redevance part, la dépense reste !",1,1,1,1,1,0,1,0,0,0,0,plutôt un sophisme,rater1
https://app.observatoire.info/labelize?url_h=4e5cd613e3f28f1c303dd8604e9e6b8ebbb54ae2,Guerre en Ukraine. L’ombre de Staline,0,1,1,1,1,0,0,0,0,0,0,,rater1
https://app.observatoire.info/labelize?url_h=0d03c6039a656c62d79897a4641aa10e25cfdbe8,Vaccin anti-Covid : la descente aux enfers d’Eloïse,0,1,1,1,0,0,1,0,0,0,0,,rater1
https://app.observatoire.info/labelize?url_h=a3257c6c819fea8d37983752275815bb71abc6c4,Un président en panne d’idées peut-il encore diriger le pays ?,0,1,1,1,1,0,0,0,0,0,0,Je pense que texte a ajouté les commentaires à l'article,rater1
